Vertex 	Distance from 0(source node)
0 		0
1 		6
2 		5
3 		5
4 		5
5 		4
6 		6
7 		4
8 		4
9 		3
10 		3
11 		5
12 		5
13 		5
14 		5
15 		6
16 		4
17 		3
18 		4
19 		6
20 		6
21 		4
22 		3
23 		5
24 		5
25 		4
26 		4
27 		4
28 		4
29 		4
30 		5
31 		4
32 		4
33 		4
34 		4
35 		4
36 		3
37 		5
38 		5
39 		4
40 		5
41 		5
42 		3
43 		4
44 		4
45 		5
46 		4
47 		5
48 		5
49 		5
50 		4
51 		5
52 		5
53 		3
54 		5
55 		5
56 		4
57 		4
58 		4
59 		4
60 		5
61 		5
62 		3
63 		5
64 		4
65 		5
66 		5
67 		4
68 		4
69 		2
70 		4
71 		5
72 		5
73 		4
74 		3
75 		5
76 		3
77 		5
78 		5
79 		5
80 		5
81 		4
82 		5
83 		5
84 		4
85 		4
86 		4
87 		3
88 		5
89 		4
90 		5
91 		6
92 		6
93 		5
94 		5
95 		5
96 		5
97 		2
98 		3
99 		3
100 		5
101 		3
102 		5
103 		3
104 		6
105 		4
106 		4
107 		6
108 		4
109 		4
110 		4
111 		5
112 		5
113 		5
114 		5
115 		5
116 		5
117 		4
118 		6
119 		4
120 		4
121 		4
122 		5
123 		5
124 		5
125 		5
126 		3
127 		5
128 		6
129 		3
130 		5
131 		5
132 		5
133 		5
134 		5
135 		3
136 		3
137 		4
138 		5
139 		4
140 		4
141 		5
142 		4
143 		5
144 		5
145 		4
146 		4
147 		5
148 		5
149 		4
150 		4
151 		5
152 		5
153 		5
154 		4
155 		4
156 		5
157 		4
158 		5
159 		4
160 		4
161 		4
162 		4
163 		5
164 		4
165 		4
166 		4
167 		5
168 		5
169 		6
170 		5
171 		6
172 		6
173 		3
174 		4
175 		4
176 		6
177 		4
178 		4
179 		5
180 		5
181 		3
182 		5
183 		5
184 		3
185 		5
186 		4
187 		4
188 		5
189 		4
190 		4
191 		5
192 		4
193 		4
194 		4
195 		4
196 		5
197 		4
198 		3
199 		5
200 		2
201 		4
202 		6
203 		5
204 		5
205 		4
206 		5
207 		5
208 		4
209 		4
210 		5
211 		4
212 		5
213 		5
214 		5
215 		4
216 		4
217 		7
218 		5
219 		4
220 		5
221 		4
222 		4
223 		4
224 		5
225 		4
226 		5
227 		6
228 		4
229 		5
230 		5
231 		3
232 		4
233 		5
234 		4
235 		4
236 		6
237 		4
238 		5
239 		5
240 		4
241 		5
242 		4
243 		4
244 		5
245 		4
246 		5
247 		5
248 		6
249 		4
250 		6
251 		5
252 		5
253 		4
254 		2
255 		4
256 		5
257 		3
258 		5
259 		4
260 		5
261 		4
262 		6
263 		4
264 		3
265 		5
266 		5
267 		5
268 		5
269 		5
270 		5
271 		5
272 		4
273 		5
274 		4
275 		2
276 		5
277 		3
278 		5
279 		3
280 		3
281 		4
282 		6
283 		4
284 		5
285 		4
286 		5
287 		5
288 		6
289 		4
290 		4
291 		2
292 		4
293 		3
294 		4
295 		4
296 		3
297 		5
298 		3
299 		6
300 		5
301 		4
302 		5
303 		4
304 		5
305 		5
306 		5
307 		3
308 		3
309 		4
310 		4
311 		4
312 		4
313 		4
314 		5
315 		4
316 		4
317 		5
318 		6
319 		4
320 		5
321 		6
322 		3
323 		5
324 		4
325 		4
326 		5
327 		6
328 		4
329 		5
330 		4
331 		5
332 		4
333 		5
334 		7
335 		5
336 		5
337 		2
338 		4
339 		4
340 		5
341 		5
342 		3
343 		5
344 		3
345 		4
346 		4
347 		5
348 		3
349 		5
350 		4
351 		4
352 		5
353 		4
354 		5
355 		4
356 		5
357 		6
358 		5
359 		5
360 		4
361 		2
362 		5
363 		3
364 		5
365 		5
366 		5
367 		4
368 		5
369 		5
370 		5
371 		5
372 		4
373 		4
374 		5
375 		5
376 		5
377 		6
378 		3
379 		5
380 		1
381 		4
382 		5
383 		5
384 		4
385 		5
386 		4
387 		5
388 		4
389 		4
390 		6
391 		5
392 		4
393 		5
394 		4
395 		5
396 		7
397 		5
398 		5
399 		5
400 		4
401 		5
402 		4
403 		3
404 		5
405 		5
406 		5
407 		3
408 		4
409 		5
410 		5
411 		5
412 		5
413 		5
414 		3
415 		5
416 		5
417 		5
418 		6
419 		5
420 		3
421 		5
422 		3
423 		3
424 		2
425 		6
426 		3
427 		6
428 		1
429 		4
430 		5
431 		5
432 		5
433 		5
434 		5
435 		5
436 		5
437 		5
438 		5
439 		3
440 		5
441 		4
442 		5
443 		4
444 		4
445 		4
446 		5
447 		4
448 		5
449 		5
450 		3
451 		3
452 		3
453 		5
454 		4
455 		4
456 		5
457 		3
458 		6
459 		3
460 		4
461 		1
462 		5
463 		5
464 		5
465 		4
466 		6
467 		5
468 		5
469 		5
470 		5
471 		4
472 		5
473 		4
474 		5
475 		2
476 		4
477 		5
478 		5
479 		5
480 		5
481 		4
482 		4
483 		4
484 		4
485 		4
486 		6
487 		5
488 		5
489 		5
490 		5
491 		4
492 		6
493 		4
494 		3
495 		5
496 		4
497 		3
498 		6
499 		4
